name;address;nature;nightlife;drink;music;dance;history;sports;art;museum;walk;restaurant;movie
Her Majesty's Theatre;Haymarket;;;;1;;;;1;;;;
Victoria Palace Theatre;Victoria Street;;;;1;;;;1;;;;
New Wimbledon Theatre;93 The Broadway;;;;1;;;;1;;;;
Southbank Centre;Belvedere Road, London, United Kingdom;;;1;;;;;1;;;;
Everyman Baker St;96-98 Baker Street, London, United Kingdom;;;1;;;;;;;;;1
Royal Albert Hall;Kensington Gore;;;;1;;;;;;;;
Sadler's Wells;Rosebery Ave.;;;1;1;;;;1;;;;
The Gate Cinema;87 Notting Hill Gate, London, United Kingdom;;;;;;;;;;;;1
Richmond Theatre;Little Green;;;;1;;;;1;;;;
BAC (Battersea Arts Centre);Lavender Hill;;;1;;;;;;;;;
Polka Theatre;240 The Broadway, London, United Kingdom;;;;;;;;;;;;1
Clapham Picturehouse;76 Venn Street, London, United Kingdom;;;;;;;;;;;;
Odeon Cinema Swiss Cottage;96 Finchley Road, London, United Kingdom;;;;;;;;;;;;
Ritzy Cinema;Brixton Oval, Coldharbour Lane, London, United Kingdom;;;;;;;;;;;;
Renoir Cinema;The Brunswick, London, United Kingdom;;;;;;;;;;;;
Rio Cinema;107 Kingsland High Street, London, United Kingdom;;;;;;;;;;;;
Grosvenor Victoria Casino;150-162 Edgware Road, London, United Kingdom;;1;;;;;;;;;;
Vue;Leicester Square, 3 Cranbourn Street, London, United Kingdom;;;;;;;;;;;;1
Odeon Cinema Holloway;419-427 Holloway Road, London, United Kingdom;;;;;;;;;;;;1
Everyman Screen on the Green;83 Upper Street, London, United Kingdom;;;;;;;;;;;;1
Emirates Stadium;75 Drayton Pk;;;;;;;1;;;;;
Hackney Empire;291 Mare St.;;;;;;;;;;;;
indigO2;Millennium Way;;1;1;1;1;;;;;;;
Theatre Royal Stratford East;Gerry Raffles Square;;;;;;;;;;;;
The Albany;Douglas Way;;;;;;;;;;;;
The O2 Arena;Peninsula Sq.;;;;1;;;1;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Rose Theatre;24-26 High St.;;;;;;;;;;;;
Olympia;Hammersmith Road;;;;;;;;1;;;;
Hampstead Theatre;Eton Avenue;;;;;;;;;;;;
Wilton's Music Hall;Graces Alley;;;;;;;;;;;;
Fairfield Halls;Park Lane;;;;;;;;;;;;
Hurlingham Park;London, United Kingdom;1;;;;;;1;;;1;;
Broadway Theatre;Catford Broadway;;;;;;;;;;;;
The Royal Vauxhall Tavern;372 Kennington Lane;;1;1;1;;;;;;;;
Roundwood Park;Harlesden Rd.;1;;;;;;1;;;1;;
The Space;269 Westferry Road;;;;;;;;1;;;;
White Bear Theatre Club;138 Kennington Park Road;;;;;;;;;;;;
The Battersea Barge;9 Elms Lane;;;;;;;;;;;;
Corsica Studios;4/5 Elephant Road, London, United Kingdom;;1;;1;1;;;;;;;
Vue Cinemas - North Finchley;Great North Leisure Park, Chaplin Square, London, United Kingdom;;;;;;;;;;;;1
The Jack Studio Theatre;410 Brockley Rd;;;;;;;;;;;;
Village Underground;54 Holywell Lane, London, United Kingdom;;1;1;1;1;;;;;;;
Crystal Palace National Sports Centre;Ledrington Road, London, United Kingdom;;;;;;;1;;;;;
Arches Leisure Centre;80 Trafalgar Road, London, United Kingdom;;;;;;;1;;;;;
Mile End Stadium;190 Burdett Road, London, United Kingdom;;;;;;;1;;;;;
White Hart Lane Stadium;748 High Rd;;;;;;;1;;;;;
The Hippodrome Kingston;1 St James Road, Kingston upon Thames, United Kingdom;1;;1;;;;;;;;;
Alexandra Palace;Alexandra Palace Way, London, United Kingdom;;;;1;;;;1;;1;;
Surrey Docks Watersports Centre;Rope Street, United Kingdom;;;;;;;1;;;;;
Brent Valley Golf Course;Brent Valley Golf Course;;;;;;;1;;;;;
The Hurlingham Club;Ranelagh Gardens;;;;;;;1;;;;;
Alexandra Palace Skateboard Park;The Avenue, London, United Kingdom;;;;;;;1;;;;;
Boujis;43 Thurloe Street, London, United Kingdom;;1;1;1;1;;;;;;;
Curzon Soho;99 Shaftesbury Avenue, London, United Kingdom;;;;;;;;;;;;1
Peckham Rye Park;London, United Kingdom;1;;;;;;;;;1;;
Charlie's;9 Crosswall, London, United Kingdom;;;;;;;;;;;1;
Cowshed Shoreditch House;Shoreditch House, 1 Ebor St, Shoreditch, London, United Kingdom;;;;;;;1;;;;;
The Old Vic;The Cut;;;;;;;;;;;;
The Phoenix Cinema;52 High Road, East Finchley, London, United Kingdom;;;;;;;;;;;;1
The Alma;499 Old York Rd;;1;1;1;;;;;;;1;
The Stag;67 Fleet Rd;;;1;;;;;;;;1;
Queen Adelaide;35 Putney Bridge Rd;;1;1;1;;;;;;;1;
The Canonbury;21 Canonbury Place;;;1;;;;;;;;1;
The Gowlett;62 Gowlett Rd;;;1;;;;;;;;1;
The North London Tavern;Kilburn High Rd;;;1;;;;;;;;1;
The Falcon;33 Bedford Road;;;1;;;;;;;;1;
The Prince George;40 Parkholme Rd.;;;1;;;;;;;;1;
The Roebuck;130 Richmond Hill;;;1;;;;;;;;1;
Walpole Park;London, United Kingdom;1;;;;;;;;;1;;
Ravenscourt Park;16 Ravenscourt Ave.;1;;;;;;;;;1;;
Balham Bowls Club;7-9 Ramsden Rd.;;;1;;;;;;;;1;
Dalston Superstore;117 Kingsland High Street, London, United Kingdom;;1;1;1;1;;;;;;;
Buffalo Bar;259 Upper Street, London, United Kingdom;;;1;;;;;;;;;
Turnham Green;Chiswick High Road, London, United Kingdom;1;;;;;;;;;1;;
Blue Anchor Pub;Bridgen Road;;;1;;;;;;;;1;
The Dignity;363 Regents Park Road;;;1;;;;;;;;1;
The Palm Beach Casino;30 Berkeley Street, London, United Kingdom;;1;;;;;;;;;;
The Lord Nelson;386 Old Kent Rd.;;;1;;;;;;;;1;
Vestry House Museum;Vestry Road, London, United Kingdom;;;;;;1;;;1;;;
Fountain Studios;128 Wembley Park Dr.;;;;;;;;;;;;
Acton Park;21 East Churchfield Road, London, United Kingdom;1;;;;;;;;;1;;
The Lord Clyde;340-342 Essex Road;;;1;;;;;;;;1;
Ironmonger Row Baths;Ironmonger Row;;;;;;;1;;;;;
The Five Bells;165-167 East End Rd;;;1;;;;;;;;1;
Wandsworth Common;Bellevue Rd.;1;;;;;;;;;1;;
Clissold Park;Church St;1;;;;;;;;;1;;
The Lauriston;162 Victoria Park Road;;;1;;;;;;;;1;
Prince Charles Cinema;7 Leicester Place, London, United Kingdom;;;;;;;;;;;;1
Haynes Park;United Kingdom;1;;;;;;;;;1;;
Defectors Weld;170 Uxbridge Rd.;;;1;;;;;;;;1;
Curzon;206 King's Road, London, United Kingdom;;;;;;;;;;;;1
Fenton House;Hampstead Grove, London, United Kingdom;1;;;;;1;;;;1;;
The Herne Tavern;2 Forest Hill Rd;;1;1;;;;;;;;1;
London Fields Fitness Studio;London, United Kingdom;;;;;;;1;;;;;
The Bedford;77 Bedford Hill;;1;1;1;;;;;;;1;
The Gardener's Arms;Merton Road;;;1;;;;;;;;1;
Greenwich Picturehouse;180 Greenwich High Road, London, United Kingdom;;;;;;;;;;;;1
Queen's Wood, N10;London, United Kingdom;1;;;;;;;;;1;;
Chestnuts Park;London, United Kingdom;1;;;;;;;;;1;;
White Hart;The Terrace;;;1;;;;;;;;1;
Everyman Belsize Park;203 Haverstock Hill;1;;;;;;;;;1;;
The Curtains Up;28a Comeragh Rd.;;;1;;;;;;;;1;
The Sun Inn;7 Church Road;;;1;;;;;;;;1;
Keats House;10 Keats Grove, London, United Kingdom;;;;;;1;;;;;;
Barnes Common;London, United Kingdom;1;;;;;;;;;1;;
The Blind Beggar;337 Whitechapel Rd;;;1;;;;;;;;1;
Tricycle Theatre;269 Kilburn High Road;;;;;;;;;;;;
Orleans House Gallery;United Kingdom;;;;;;;;1;;;;
The Tailor's Chalk (Wetherspoon);47-49 High St.;;;1;;;;;;;;1;
Altab Ali Park;Alder Street, London, United Kingdom;1;;;;;;;;;1;;
The City Barge;27 Strand on the Green;;;1;;;;;;;;1;
FacesNightclub;458-462 Cranbrook Road, Ilford, United Kingdom;;1;1;1;1;;;;;;;
Russell Square;London, United Kingdom;;;;;;;;;;1;;
PeckhamPlex;95A Rye Lane, London, United Kingdom;;;;;;;;;;;;1
The Moon Under Water (Wetherspoon);84-86 Staines Rd.;;;1;;;;;;;;;
Shakespeare's Globe Theatre;21 New Globe Walk;;;;;;;;;;;;
The White Cross;Riverside;;;1;;;;;;;;1;
Florist Arms;255 Globe Rd.;;1;1;;;;;;;;;
Two Brewers;114 Clapham High St.;;1;1;;;;;;;;;
The Bree Louise;69 Coburg St;;1;1;;;;;;;;;
Lincoln's Inn Fields;Newman's Row, London, United Kingdom;;;;;;;1;;;;;
The Old Eagle;251 Royal College Street;;;1;;;;;;;;;
Myddleton Arms;52 Canonbury Rd.;;;1;;;;;;;;1;
Lock Tavern;35 Chalk Farm Rd.;;;1;;;;;;;;1;
The Telegraph;Telegraph Rd;;;;;;;;;;;1;
The Ring;72 Blackfriars Rd.;;1;1;;;;;;;;;
Coborn Arms;8 Coborn Rd.;;;1;;;;;;;;;
Shoreditch Park Boulder;Poole Street, London, United Kingdom;;;;;;;1;;;;;
The Elephant's Head;224 Camden High Street;;1;1;;;;;;;;;
Gordon Square Garden;London, United Kingdom;1;;;;;;;;;1;;
Cineworld;63-65 Haymarket, London, United Kingdom;;;;;;;;;;;;1
Lambeth Palace Gardens;London, United Kingdom;1;;;;;;;;;1;;
Essex Yeoman (Original Pub Company);70 Station Rd.;;;1;;;;;;;;;
Kelsey Park;Manor Way, London, United Kingdom;1;;;;;;;;;1;;
Earl Ferrers;Ferrers Road;;;1;1;;;;;;;1;
Well Hall Pleasaunce;London, United Kingdom;1;;;;;;;;;1;;
Thatched House;St Marys Ln.;;;1;;;;;;;;1;
Cineworld Wandsworth;Southside Shopping Centre, Wandsworth High Street, London, United Kingdom;;;;;;;;;;;;1
The Duke of Wellington;119 Balls Pond Rd;;;1;;;;;;;;1;
Whittington & Cat;89 Highgate Hill;;;1;;;;;;;;;
The Bald Faced Stag;69 High Road;;;1;;;;;;;;1;
The Old Bull & Bush;North End Way;;;1;;;;;;;;1;
The Furze Wren (Wetherspoon);Unit 6, Market Place;;;1;;;;;;;;1;
Battersea Bridge Gardens;London, United Kingdom;1;;;;;;;;;1;;
Golden Lion;2 High St.;;1;1;;;;;;;;1;
The Moon and Stars (Wetherspoon);99 -103 South St.;;;1;;;;;;;;1;
Liquid & Envy;108 South St.;;1;1;1;1;;;;;;;
The World's Inn (Wetherspoon);113â€“117 South St.;;;1;;;;;;;;1;
Buddha Lounge;36-38 North Street, Romford, United Kingdom;;1;1;1;1;;;;;;;
The Prince Of Wales;48 Cleaver Sq;;;1;;;;;;;;;
Flask Tavern;77 Highgate West Hill;;;1;;;;;;;;1;
Saatchi Gallery;Duke Of York's HQ, King's Road, London, United Kingdom;;;;;;;;1;;;;
Coach & Horses;173-175 Clapham Park Rd.;;;1;;;;;;;;;
Saint George's Square Garden;London, United Kingdom;1;;;;;;;;;1;;
The Prince Albert (Whitton);Hounslow Road;;;1;;;;;;;;;
The Bull & Last;168 Highgate Rd;;;1;;;;;;;;1;
The William Webb Ellis (Wetherspoon);24 London Rd.;;;1;;;;;;;;1;
Vue Cinemas - Romford;1-15 The Brewery, Romford, United Kingdom;;;;;;;;;;;;1
Ye Olde Rose And Crown;53 Hoe St;;;1;;;;;;;;1;
Eventim Apollo;45 Queen Caroline St;;;;;;;;;;;;
Victoria and Albert Museum;Cromwell Road, London, United Kingdom;;;;;;;;1;1;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
The Old White Lion;121 Great North Road;;1;1;;;;;;;;1;
Barfly;49 Chalk Farm Rd;;1;1;1;;;;;;;;
Meath Gardens;London, United Kingdom;1;;;;;;;;;1;;
J.J. Moon's (Wetherspoon);397 High Rd.;;1;1;;;;;;;;;
The Snooty Fox;75 Grovesnor Avenue;;1;1;1;;;;;;;;
King George's Park;Burr Road, London, United Kingdom;1;;;;;;;;;1;;
The Prince Alfred;5A Formosa St;;1;1;;;;;;;;1;
Teddington Studios;Broom Rd.;;;;;;1;;;;;;
Curzon Mayfair Cinema;38 Curzon Street, London, United Kingdom;;;;;;;;;;;;1
Dirty Dicks;202 Bishopsgate;;1;1;;;;;;;;1;
Rosemary Branch Theatre and Pub;2 Shepperton Rd;;;1;;;;;;;;1;
Vue Cinema Finchley Road;O2 Centre, 255 Finchley Road, London, United Kingdom;;;;;;;;;;;;1
Brockwell Park;Dulwich Road, London, United Kingdom;1;;;;;;;;;1;;
The Red Lion (Fulwell);Stanley Road;;;1;;;;;;;;;
The Crown & Greyhound;73 Dulwich Village;;;1;;;;;;;;1;
Northampton Square Garden;London, United Kingdom;1;;;;;;;;;1;;
Twickenham Green;Twickenham, United Kingdom;1;;;;;;;;;1;;
Blythe Hill Tavern;319 Stanstead Road;;;1;;;;;;;;;
Hackney Downs;Downs Park Road, London, United Kingdom;1;;;;;;;;;1;;
Eaton Square Gardens;London, United Kingdom;1;;;;;;;;;1;;
Queen's Park;London, United Kingdom;1;;;;;;;;;1;;
The Chamberlayne;83 Chamberlayne Rd;;;1;;;;;;;;1;
The Claret Freehouse;Lower Addiscombe Road;;;1;;;;;;;;1;
Chelsea Arts Club;143 Old Church Street, London, United Kingdom;;;;;;;;;;;1;
Lexi Cinema;194b Chamberlayne Rd, London, United Kingdom;;;;;;;;;;;;1
Raynes Park Tavern;Coombe Lane;;1;1;;;;;;;;;
The Brown Bear;Leman Rd.;;;1;;;;;;;;1;
The Station Tavern;257 Green St;;;1;;;;;;;;;
St Margarets Pub;107 St Margarets Road;;;1;;;;;;;;1;
The Gym Wood Green;725-731 Lordship Lane, London, United Kingdom;;;;;;;1;;;;;
The Devonshire;39 Balham High Rd.;;;1;;;;;;;;;
The London Apprentice;62 Church Street;;;1;;;;;;;;1;
William IV;786 Harrow Road;;;1;;;;;;;;1;
Henry Addington;22-28 Mackenzie Walk;;;1;;;;;;;;;
Shakespeare's Head (Wetherspoon);64-68 Kingsway;;;1;;;;;;;;1;
Dulwich Woodhouse;39 Sydenham Hill;;;1;;;;;;;;1;
The Capitol (Wetherspoon);11-21 London Rd.;;;1;;;;;;;;;
All Inn One;53 Perry Vale;;;1;;;;;;;;1;
East Dulwich Tavern;1 Lordship Ln.;;;1;;;;;;;;1;
The Cuckfield;31 High St.;;;1;;;;;;;;1;
Hackney Marsh;Homerton Road, London, United Kingdom;1;;;;;;;;;1;;
Sydenham Wells Park;London, United Kingdom;1;;;;;;;;;1;;
Mount Street Gardens;London, United Kingdom;1;;;;;;;;;1;;
Westow Park;London, United Kingdom;1;;;;;;;;;1;;
The Rookery;Covington Way, London, United Kingdom;1;;;;;;;;;1;;
The Salisbury;1 Grand Parade;;;1;;;;;;;;1;
The Pheasant Pub;98 West End Lane;;;1;;;;;;;;1;
Wembley Stadium Parking;Wembley Stadium, Wembley, United Kingdom;;;;;;;1;;;;;
Odeon Cinema Richmond;72 Hill St, Richmond, United Kingdom;;;;;;;;;;;;1
Clapton Common;Clapton Common, London, United Kingdom;1;;;;;;;;;1;;
The Tally Ho (Wetherspoon);749 High Rd.;;;1;;;;;;;;1;
Fox & Firkin;316 High St.;;1;1;1;;;;;;;1;
The Metropolitan;60 Great Western Rd.;;1;1;1;;;;;;;1;
Baby Spa By Laura Sevenus;6 Lancer Square, London, United Kingdom;;;;;;;;;;;;
Priory Park;London, United Kingdom;1;;;;;;;;;1;;
The Clapham North;409 Clapham Road;;;1;;;;;;;;;
The Birdcage;57 Stamford Hill;;;1;;;;;;;;;
The Duke of Kent;2 Scotch Common;;;1;;;;;;;;1;
The Fulham Mitre;81 Dawes Rd.;;;1;;;;;;;;1;
The National Archives;Bessant Drive;;;;;;1;;;;;;
BFI IMAX;1 Charlie Chaplin Walk, London, United Kingdom;;;;;;;;;;;;1
Camberwell Green;London, United Kingdom;1;;;;;;;;;1;;
The Prince Albert Battersea;Albert Bridge rd;;;1;;;;;;;;1;
Hanger Hill Park;London, United Kingdom;1;;;;;;;;;1;;
Haven Green;London, United Kingdom;1;;;;;;;;;1;;
Railway Bell;87 George Ln;;;1;;;;;;;;;
The Valley;Floyd Road, London, United Kingdom;;;;;;;1;;;;;
The Telegraph (at The Earl of Derby);87 Dennetts Road, Telegraph Hill;;;1;;;;;;;;1;
Hand & Flower;1 Hammersmith Rd;;;1;;;;;;;;1;
The Bear;26-28 York St.;;;1;;;;;;;;;
Ailsa Tavern - Shepherd Neame;263 St Margarets Road;;;1;;;;;;;;;
The Rose & Crown;55 High St.;;;1;;;;;;;;;
The Anglers;3 Broom Rd;;;1;;;;;;;;1;
Brondes Age;324 Kilburn High Rd.;;;1;;;;;;;;1;
The Village;31 Orford Rd.;;;1;;;;;;;;1;
Ferry Boat Inn;Ferry Lane;;;1;;;;;;;;1;
Twickenham Club;7 Church Street, Town Centre, Twickenham, United Kingdom;;;1;;;;;;;;;
Skehans Freehouse;1 Kitto Rd;;;1;;;;;;;;1;
The Three Crowns;175 Stoke Newington High St;;;1;;;;;;;;1;
Captain Kidd;108 Wapping High St.;;;1;;;;;;;;1;
The Lass O' Richmond Hill;8 Queen's Road;;;1;;;;;;;;1;
Three Hammers;The Ridgeway;;;1;;;;;;;;1;
Saint Mary Abbots Gardens;London, United Kingdom;1;;;;;;;;;1;;
Highbury Fields;London, United Kingdom;1;;;;;;;;;1;;
The Highbury Barn;26 Highbury Park;;;1;;;;;;;;1;
